VS code,VS name,Total parts
01,Rajmahal,383
02,Borio,346
03,Barhait,277
04,Littipara,272
05,Pakur,434
06,Maheshpur,308
07,Shikaripara,261
08,Dumka,286
09,Jama,270
10,Jarmundi,300
11,Nala,332
12,Jamtara,366
13,Madhupur,409
14,Sarath,376
15,Deoghar,460
16,Poreyahat,373
17,Godda,397
18,Mahagama,408
19,Koderma,352
20,Barkatha,470
21,Barhi,402
22,Mandu,520
23,Hazaribagh,486
24,Barkagaon,465
25,Ramgarh,405
26,Simaria,419
27,Chatra,475
28,Dhanwar,424
29,Bagodar,454
30,Jamua,400
31,Gandey,375
32,Giridih,367
33,Dumri,373
34,Gomia,341
35,Bermo,356
36,Bokaro,588
37,Chandankiyari,297
38,Sindri,426
39,Nirsa,424
40,Dhanbad,458
41,Jharia,346
42,Tundi,368
43,Baghmara,355
44,Baharagora,264
45,Ghatshila,291
46,Potka,326
47,Jugsalai,381
48,Jamshedpur East,293
49,Jamshedpur West,330
50,Ichagarh,337
51,Seraikella,431
52,Kharasawan,282
53,Chaibasa,284
54,Majhgaon,267
55,Jaganathpur,233
56,Manoharpur,264
57,Chakradharpur,236
58,Tamar,303
59,Silli,278
60,Khijri,413
61,Ranchi,370
62,Hatia,495
63,Kanke,482
64,Mandar,429
65,Torpa,241
66,Khunti,297
67,Sisai,332
68,Gumla,313
69,Bishunpur,349
70,Simdega,301
71,Kolebira,270
72,Lohardaga,324
73,Manika,321
74,Latehar,358
75,Panki,326
76,Daltonganj,426
77,Bishrampur,367
78,Chhatarpur,335
79,Hussainabad,341
80,Garhwa,454
81,Bhawanathpur,476